,score,score
,positive_reviews,negative_reviews
at,,
2019-08-11,0,11
2019-08-18,0,2
2019-08-25,0,2
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,0,0
2019-11-10,0,0
2019-11-17,0,0
2019-11-24,0,0
2019-12-01,0,0
2019-12-08,0,1
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,0,2
2020-03-22,0,2
2020-03-29,0,1
2020-04-05,0,0
2020-04-12,0,22
2020-04-19,0,14
2020-04-26,0,2
2020-05-03,0,1
2020-05-10,0,1
2020-05-17,0,2
2020-05-24,0,4
2020-05-31,0,3
2020-06-07,0,1
2020-06-14,0,2
2020-06-21,0,1
2020-06-28,0,1
2020-07-05,0,2
2020-07-12,0,0
2020-07-19,0,3
2020-07-26,0,6
2020-08-02,0,8
2020-08-09,0,4
2020-08-16,0,6
2020-08-23,0,10
2020-08-30,0,6
2020-09-06,0,5
2020-09-13,0,2
2020-09-20,0,2
2020-09-27,0,6
2020-10-04,0,9
2020-10-11,0,5
2020-10-18,0,14
2020-10-25,0,28
2020-11-01,0,10
2020-11-08,0,14
2020-11-15,0,12
2020-11-22,0,18
2020-11-29,0,55
2020-12-06,0,58
2020-12-13,0,70
2020-12-20,0,57
2020-12-27,0,56
2021-01-03,0,36
2021-01-10,0,43
2021-01-17,0,56
2021-01-24,0,55
2021-01-31,0,57
2021-02-07,0,58
2021-02-14,0,62
2021-02-21,0,98
2021-02-28,0,75
2021-03-07,0,84
2021-03-14,0,109
2021-03-21,0,78
2021-03-28,0,46
2021-04-04,0,52
2021-04-11,0,86
2021-04-18,0,87
2021-04-25,0,109
2021-05-02,0,125
2021-05-09,0,109
2021-05-16,0,137
2021-05-23,0,146
2021-05-30,0,117
2021-06-06,0,128
2021-06-13,0,112
2021-06-20,0,125
2021-06-27,0,126
2021-07-04,0,151
2021-07-11,0,149
2021-07-18,0,155
2021-07-25,0,136
2021-08-01,0,138
2021-08-08,0,176
2021-08-15,0,174
2021-08-22,0,190
2021-08-29,0,209
2021-09-05,0,191
2021-09-12,0,220
2021-09-19,0,234
2021-09-26,0,248
2021-10-03,0,191
2021-10-10,0,223
2021-10-17,0,155
2021-10-24,0,185
2021-10-31,0,155
2021-11-07,0,152
2021-11-14,0,192
2021-11-21,0,167
2021-11-28,0,177
2021-12-05,0,160
2021-12-12,0,179
2021-12-19,0,133
2021-12-26,0,182
2022-01-02,0,191
2022-01-09,0,168
2022-01-16,0,149
2022-01-23,0,183
2022-01-30,0,180
2022-02-06,0,196
2022-02-13,0,189
2022-02-20,0,158
2022-02-27,0,225
2022-03-06,0,234
2022-03-13,0,191
2022-03-20,0,156
2022-03-27,0,194
2022-04-03,0,225
2022-04-10,0,226
2022-04-17,0,206
2022-04-24,0,216
2022-05-01,0,259
2022-05-08,0,233
2022-05-15,0,231
2022-05-22,0,299
2022-05-29,0,288
2022-06-05,0,356
2022-06-12,0,319
2022-06-19,0,405
2022-06-26,0,400
2022-07-03,0,453
2022-07-10,0,565
2022-07-17,0,398
2022-07-24,0,418
2022-07-31,0,417
2022-08-07,0,412
2022-08-14,0,398
2022-08-21,1590,383
2022-08-28,1910,434
2022-09-04,1819,486
2022-09-11,1645,416
2022-09-18,1440,384
2022-09-25,1600,380
2022-10-02,1861,434
2022-10-09,2049,565
2022-10-16,1915,492
2022-10-23,1666,563
2022-10-30,1563,468
2022-11-06,1555,456
2022-11-13,1847,703
2022-11-20,1748,485
2022-11-27,1730,510
2022-12-04,1960,525
2022-12-11,1763,578
2022-12-18,1502,610
2022-12-25,1365,802
2023-01-01,2028,1287
2023-01-08,1549,608
2023-01-15,1249,458
2023-01-22,1245,373
2023-01-29,1456,817
2023-02-05,1664,952
2023-02-12,1648,1413
2023-02-19,1287,1191
2023-02-26,1765,1488
2023-03-05,1538,888
2023-03-12,921,549
2023-03-19,686,449
2023-03-26,501,324
2023-04-02,677,361
2023-04-09,659,302
2023-04-16,704,403
2023-04-23,600,271
2023-04-30,295,100
