reviewCreatedVersion,mean_score,review_count,most_common_topic
0.2.8.alpha,3.6666666666666665,3,6
0.4.1.beta,5.0,1,3
0.4.7.beta,3.0,2,2
0.4.8.beta,1.0,1,6
0.4.9.beta,5.0,1,9
0.5.0,2.5,2,7
0.5.3,4.0,4,3
0.5.5,2.8360655737704916,61,3
0.5.8,1.0,1,9
0.5.9,5.0,2,3
0.6.1,3.6666666666666665,3,0
0.6.2,1.0,1,1
0.6.3,1.0,2,4
0.6.5,3.0,2,0
0.6.6,5.0,1,3
0.6.7,3.6666666666666665,3,4
0.6.8,5.0,6,3
0.6.9,5.0,5,3
0.7.1,4.833333333333333,6,3
0.7.3,4.153846153846154,13,3
0.7.4,5.0,1,7
0.7.5,3.702127659574468,47,3
0.7.6,3.9166666666666665,12,3
0.7.7,3.926829268292683,82,3
0.8.4,4.65,20,3
0.8.5,4.595238095238095,42,3
0.8.6,4.673684210526316,95,3
0.8.7,4.836065573770492,61,3
0.8.8,4.747474747474747,99,3
0.9.0,4.3125,32,3
0.9.2,4.25,12,3
0.9.3,4.745762711864407,59,3
0.9.5,4.75,40,3
0.9.7,4.285714285714286,77,3
0.9.8,4.363013698630137,146,3
0.9.9,2.0,5,6
1.0,5.0,1,7
1.0.0,4.488372093023256,43,3
1.0.1,4.454545454545454,66,3
1.0.2,4.324324324324325,74,3
1.0.3,4.0,42,3
1.0.4,4.175,40,0
1.0.5,4.373333333333333,75,3
1.0.6,4.2439024390243905,123,3
1.0.7,4.219251336898396,187,3
1.0.8,4.1257142857142854,350,3
1.0.9,3.955357142857143,448,3
1.02,4.785234899328859,149,3
1.1.0,4.024390243902439,123,3
1.1.1,4.0479452054794525,146,3
1.1.2,4.189765458422174,469,3
1.1.3,4.121076233183857,223,3
1.1.4,4.10828025477707,157,3
1.1.5,4.16910229645094,479,3
1.1.7,4.194444444444445,288,3
1.1.8,4.318095238095238,525,3
1.1.9,4.347648261758692,489,3
1.2.0,4.137466307277628,371,3
1.2.1,4.512341962673088,1661,3
1.2.2,4.449197860962567,935,3
1.2.3,4.358600583090379,343,3
1.2.4,4.396551724137931,232,3
1.2.5,4.220994475138122,181,3
1.2.6,4.211812627291242,491,3
1.2.7,4.142857142857143,84,8
1.2.8,3.991228070175439,114,3
1.2.9,3.379598662207358,598,3
1.3.0,3.2584493041749503,503,8
1.3.2,3.5444015444015444,259,1
1.4.0,3.5737704918032787,305,3
1.4.1,3.6111725663716814,1808,8
1.4.4,3.5591397849462365,93,8
1.4.5,3.573049645390071,705,1
1.4.7,3.7251908396946565,524,1
1.4.8,3.8368495077355838,711,3
1.5.2,4.0,2,1
