,score,score
,positive_reviews,negative_reviews
at,,
2019-07-14,1,0
2019-07-21,0,0
2019-07-28,4,0
2019-08-04,4,0
2019-08-11,155,11
2019-08-18,22,2
2019-08-25,3,2
2019-09-01,3,0
2019-09-08,0,0
2019-09-15,2,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,0,0
2019-11-10,0,0
2019-11-17,1,0
2019-11-24,0,0
2019-12-01,0,0
2019-12-08,0,1
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,1,0
2020-02-09,1,0
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,1,0
2020-03-08,0,0
2020-03-15,0,2
2020-03-22,0,2
2020-03-29,1,1
2020-04-05,1,0
2020-04-12,1,22
2020-04-19,48,14
2020-04-26,2,2
2020-05-03,0,1
2020-05-10,2,1
2020-05-17,1,2
2020-05-24,1,4
2020-05-31,0,3
2020-06-07,0,1
2020-06-14,2,2
2020-06-21,2,1
2020-06-28,13,1
2020-07-05,3,2
2020-07-12,4,0
2020-07-19,22,3
2020-07-26,14,6
2020-08-02,27,8
2020-08-09,8,4
2020-08-16,10,6
2020-08-23,23,10
2020-08-30,27,6
2020-09-06,30,5
2020-09-13,56,2
2020-09-20,114,2
2020-09-27,101,6
2020-10-04,147,9
2020-10-11,111,5
2020-10-18,129,14
2020-10-25,137,28
2020-11-01,108,10
2020-11-08,48,14
2020-11-15,71,12
2020-11-22,118,18
2020-11-29,269,55
2020-12-06,245,58
2020-12-13,174,70
2020-12-20,223,58
2020-12-27,202,56
2021-01-03,187,36
2021-01-10,182,43
2021-01-17,278,56
2021-01-24,226,55
2021-01-31,227,57
2021-02-07,340,58
2021-02-14,473,62
2021-02-21,524,98
2021-02-28,688,75
2021-03-07,900,84
2021-03-14,760,109
2021-03-21,349,78
2021-03-28,381,46
2021-04-04,310,52
2021-04-11,315,87
2021-04-18,236,88
2021-04-25,182,109
2021-05-02,172,125
2021-05-09,137,109
2021-05-16,154,137
2021-05-23,292,146
2021-05-30,211,117
2021-06-06,258,128
2021-06-13,284,112
2021-06-20,219,125
2021-06-27,548,127
2021-07-04,708,151
2021-07-11,702,149
2021-07-18,550,155
2021-07-25,311,136
2021-08-01,374,138
2021-08-08,362,176
2021-08-15,399,175
2021-08-22,348,190
2021-08-29,416,209
2021-09-05,422,191
2021-09-12,517,220
2021-09-19,456,236
2021-09-26,503,249
2021-10-03,401,191
2021-10-10,356,223
2021-10-17,307,155
2021-10-24,354,186
2021-10-31,316,155
2021-11-07,230,152
2021-11-14,288,192
2021-11-21,265,167
2021-11-28,226,177
2021-12-05,265,160
2021-12-12,293,179
2021-12-19,269,133
2021-12-26,305,182
2022-01-02,297,191
2022-01-09,269,168
2022-01-16,289,149
2022-01-23,341,183
2022-01-30,303,181
2022-02-06,371,196
2022-02-13,324,189
2022-02-20,279,158
2022-02-27,381,225
2022-03-06,447,237
2022-03-13,311,191
2022-03-20,216,157
2022-03-27,299,194
2022-04-03,290,228
2022-04-10,378,226
2022-04-17,439,206
2022-04-24,596,218
2022-05-01,541,259
2022-05-08,838,236
2022-05-15,1338,232
2022-05-22,1670,299
2022-05-29,1418,288
2022-06-05,1506,356
2022-06-12,1514,320
2022-06-19,1752,407
2022-06-26,1854,400
2022-07-03,1917,454
2022-07-10,2063,568
2022-07-17,1630,399
2022-07-24,1684,418
2022-07-31,1696,422
2022-08-07,1601,413
2022-08-14,1557,399
2022-08-21,1596,383
2022-08-28,1913,438
2022-09-04,1825,486
2022-09-11,1646,417
2022-09-18,1446,384
2022-09-25,1602,380
2022-10-02,1864,438
2022-10-09,2052,568
2022-10-16,1917,493
2022-10-23,1668,565
2022-10-30,1565,469
2022-11-06,1562,459
2022-11-13,1850,705
2022-11-20,1752,487
2022-11-27,1733,512
2022-12-04,1965,528
2022-12-11,1768,584
2022-12-18,1503,612
2022-12-25,1371,808
2023-01-01,2033,1298
2023-01-08,1555,611
2023-01-15,1251,465
2023-01-22,1250,375
2023-01-29,1461,821
2023-02-05,1670,969
2023-02-12,1659,1424
2023-02-19,1297,1203
2023-02-26,1776,1511
2023-03-05,1550,902
2023-03-12,928,564
2023-03-19,693,453
2023-03-26,503,327
2023-04-02,684,372
2023-04-09,673,312
2023-04-16,343,86
