reviewCreatedVersion,mean_score,review_count,most_common_topic
0.2.8.alpha,3.6666666666666665,3,7
0.4.1.beta,5.0,1,5
0.4.7.beta,3.0,2,5
0.4.8.beta,1.0,1,7
0.4.9.beta,5.0,1,7
0.5.0,2.5,2,7
0.5.3,4.0,4,5
0.5.5,2.8360655737704916,61,5
0.5.8,1.0,1,7
0.5.9,5.0,2,5
0.6.1,3.6666666666666665,3,0
0.6.2,1.0,1,1
0.6.3,1.0,2,4
0.6.5,3.0,2,5
0.6.6,5.0,1,5
0.6.7,3.6666666666666665,3,3
0.6.8,5.0,6,5
0.6.9,5.0,5,5
0.7.1,4.833333333333333,6,5
0.7.3,4.153846153846154,13,5
0.7.4,5.0,1,5
0.7.5,3.702127659574468,47,5
0.7.6,3.9166666666666665,12,0
0.7.7,3.926829268292683,82,5
0.8.4,4.65,20,5
0.8.5,4.595238095238095,42,5
0.8.6,4.673684210526316,95,5
0.8.7,4.836065573770492,61,5
0.8.8,4.747474747474747,99,5
0.9.0,4.3125,32,5
0.9.2,4.25,12,2
0.9.3,4.745762711864407,59,5
0.9.5,4.75,40,5
0.9.7,4.285714285714286,77,5
0.9.8,4.363013698630137,146,5
0.9.9,2.0,5,7
1.0,5.0,1,9
1.0.0,4.488372093023256,43,5
1.0.1,4.454545454545454,66,5
1.0.2,4.324324324324325,74,5
1.0.3,4.0,43,5
1.0.4,4.195121951219512,41,5
1.0.5,4.373333333333333,75,5
1.0.6,4.2439024390243905,123,5
1.0.7,4.219251336898396,187,5
1.0.8,4.1257142857142854,350,7
1.0.9,3.9600886917960088,451,5
1.02,4.785234899328859,149,5
1.1.0,4.024390243902439,123,5
1.1.1,4.0479452054794525,146,3
1.1.2,4.187234042553191,470,0
1.1.3,4.107142857142857,224,5
1.1.4,4.113207547169812,159,4
1.1.5,4.16910229645094,479,5
1.1.7,4.202749140893471,291,5
1.1.8,4.313688212927756,526,3
1.1.9,4.346938775510204,490,3
1.2.0,4.142091152815014,373,5
1.2.1,4.509886159376872,1669,5
1.2.2,4.445628997867804,938,5
1.2.3,4.36231884057971,345,3
1.2.4,4.381974248927039,233,5
1.2.5,4.225274725274725,182,3
1.2.6,4.205284552845528,492,3
1.2.7,4.141176470588236,85,0
1.2.8,3.991228070175439,114,3
1.2.9,3.3687707641196014,602,7
1.3.0,3.260869565217391,506,3
1.3.2,3.5363984674329503,261,0
1.4.0,3.5751633986928106,306,5
1.4.1,3.6101321585903086,1816,3
1.4.4,3.574468085106383,94,3
1.4.5,3.582152974504249,706,7
1.4.7,3.7251908396946565,524,0
1.4.8,3.8384831460674156,712,3
1.5.2,4.0,2,0
1.5.3,3.67639902676399,822,3
1.5.5,3.736842105263158,418,4
1.5.6,3.7507827175954915,1597,3
1.5.7,3.210843373493976,166,1
1.5.8,3.737360472751149,1523,3
1.5.9,3.6086086086086087,999,0
1.6.0,3.625,8,1
1.6.1,3.7115384615384617,312,0
1.6.2,3.6055555555555556,1080,3
1.6.6,3.5958029197080292,1096,3
1.6.7,3.5953757225433525,173,3
1.6.8,3.500604594921403,1654,3
1.6.9,3.541322314049587,726,0
1.7.0,3.8333333333333335,12,1
1.7.1,3.5642023346303504,2056,7
1.7.2,3.6043360433604335,1107,7
1.7.3,3.711864406779661,118,7
1.7.4,3.660377358490566,1166,7
1.7.5,3.197278911564626,294,7
1.7.6,4.8,5,1
1.7.7,3.5323834196891193,772,7
1.7.8,3.611304954640614,1433,0
1.8.0,3.0,1,9
1.8.1,2.914396887159533,257,7
1.8.3,3.2975778546712804,578,7
1.8.4,2.4,20,7
1.8.5,3.6519524617996604,589,3
1.8.6,4.5,4,1
1.8.7,3.853468433359314,1283,0
1.8.8,3.7866666666666666,525,3
1.8.9,4.112016293279022,2455,5
1.9.0,4.250877555234359,4843,3
1.9.3,3.8043478260869565,46,0
1.9.4,4.155176933158584,3815,3
1.9.5,4.174496644295302,149,0
1.9.7,4.164645350973907,2721,4
1.9.9,4.204258675078864,2536,3
2.0.0,4.075308166409862,5192,3
2.0.1,3.7636363636363637,55,4
2.0.2,4.070509233351987,1787,3
2.0.3,4.1141705842847545,1489,3
2.0.4,4.090443686006826,4102,3
2.0.6,4.129664941432852,3671,3
2.0.7,4.071355411403209,2929,3
2.0.8,4.105263157894737,6175,3
2.1.2,4.042469285605946,6593,3
2.1.4,4.001246623727405,4813,0
2.1.6,3.9795194958645137,2539,3
2.1.7,3.9983790523690774,8020,3
2.1.9,3.5090909090909093,55,0
2.2.0,4.171428571428572,35,4
2.2.1,5.0,1,0
2.2.2,3.823529411764706,51,4
2.2.3,3.8146660716941843,6723,0
2.2.4,3.7,90,0
2.2.5,3.7804208600182982,1093,4
2.2.6,3.4559597893729057,4178,9
2.2.7,3.776936704783379,6209,0
2.8.1,3.7258771929824563,456,0
2.8.3,3.77027027027027,222,4
2.8.4,3.2663913267940115,1937,9
2.8.5,2.8854818523153942,1598,9
2.8.7,3.527667984189723,1518,0
2.8.8,2.6666666666666665,3,6
2.8.9,3.1279826464208242,461,7
2.9.0,2.851747463359639,1774,9
2.9.1,2.5797665369649807,257,9
2.9.2,2.7171052631578947,152,0
2.9.3,3.419167039856695,2233,0
2.9.6,3.402061855670103,776,7
2.9.7,3.5151821862348176,988,7
2.9.8,3.4480946123521683,761,7
2.9.9,3.479426891991183,2722,7
3.0.1,3.468390804597701,348,7
3.0.2,3.7711738484398216,1346,7
