Name,LinkedIn URL,Linkedin Info,Header,Twitter URL,Twitter Info,Twitter ID,
Aditya Binaykia,https://linkedin.com/in/abinaykia,"I have over 10 years of work experience, a large majority of which has been in product. As a member of FamPay's leadership team, I manage multiple P0s ...",Aditya Binaykia - Greater Bengaluru Area,https://twitter.com/abinaykia,"It's always amazing to have a plus one for bouncing off any feelings, ideas, plans, problems or important decisions in your life, no matter how big or small ...",Aditya Binaykia (@abinaykia) / Twitter,"| Aditya Binaykia | https://linkedin.com/in/abinaykia | I have over 10 years of work experience, a large majority of which has been in product. As a member of FamPay's leadership team, I manage multiple P0s ... | Aditya Binaykia - Greater Bengaluru Area | https://twitter.com/abinaykia | It's always amazing to have a plus one for bouncing off any feelings, ideas, plans, problems or important decisions in your life, no matter how big or small ... | Aditya Binaykia (@abinaykia) / Twitter"
Shobhit Gupta,https://linkedin.com/in/shobhitgupta23,"Currently I am a Principal at Avataar Ventures, a $700M+ growth stage fund that operationally partners with its portfolio companies in their scaling journeys. I ...",Shobhit Gupta - Principal - Avataar Venture Partners,https://twitter.com/gupsho,"Shobhit Gupta. @gupsho. cricket lover, gamer, tech enthusiast, programmer. Software developer/Programmer/Software engineer Bengaluru, ...",gupsho - Shobhit Gupta,"| Shobhit Gupta | https://linkedin.com/in/shobhitgupta23 | Currently I am a Principal at Avataar Ventures, a $700M+ growth stage fund that operationally partners with its portfolio companies in their scaling journeys. I ... | Shobhit Gupta - Principal - Avataar Venture Partners | https://twitter.com/gupsho | Shobhit Gupta. @gupsho. cricket lover, gamer, tech enthusiast, programmer. Software developer/Programmer/Software engineer Bengaluru, ... | gupsho - Shobhit Gupta"
Aayush Gupta,https://linkedin.com/in/aayushgupta1,"Director of Business OperationsDirector, New VenturesSenior Associate, Venture ArchitectStrategy AssociateStrategy AnalystBlockchain Analyst",Aayush Gupta - Director of Business Operations - Elion,https://twitter.com/aayush03gupta,"Aayush Gupta's Tweets ... Gripping tales on love, loss, and survival. ... , for the sheer creative excellence of the author. ... Spread the loveMy Name is Not Devdas ...",Aayush Gupta (@aayush03gupta) / Twitter,"| Aayush Gupta | https://linkedin.com/in/aayushgupta1 | Director of Business OperationsDirector, New VenturesSenior Associate, Venture ArchitectStrategy AssociateStrategy AnalystBlockchain Analyst | Aayush Gupta - Director of Business Operations - Elion | https://twitter.com/aayush03gupta | Aayush Gupta's Tweets ... Gripping tales on love, loss, and survival. ... , for the sheer creative excellence of the author. ... Spread the loveMy Name is Not Devdas ... | Aayush Gupta (@aayush03gupta) / Twitter"
Kush Taneja,https://linkedin.com/in/iamkushtaneja,Kush Taneja · Building FamPay  Hiring Builders  Forbes 30 Under 30 · Report · Report · About · Experience · Education · Honors & Awards · Recommendations received.,Kush Taneja - Founder - FamPay,https://twitter.com/iamkushtaneja,Kush. @iamkushtaneja. Founder at FamPay. @yougotfam. Forbes 30 under 30  IIT Roorkee ‍   Building the future of banking for GenZ.,Kush (@iamkushtaneja) / Twitter,| Kush Taneja | https://linkedin.com/in/iamkushtaneja | Kush Taneja · Building FamPay  Hiring Builders  Forbes 30 Under 30 · Report · Report · About · Experience · Education · Honors & Awards · Recommendations received. | Kush Taneja - Founder - FamPay | https://twitter.com/iamkushtaneja | Kush. @iamkushtaneja. Founder at FamPay. @yougotfam. Forbes 30 under 30  IIT Roorkee ‍   Building the future of banking for GenZ. | Kush (@iamkushtaneja) / Twitter
Sambhav Jain,https://linkedin.com/in/sambhavanandjain,"Sambhav Jain. Founder at FamPay  Forbes 30U30. FamIndian Institute of Technology, Roorkee. Bengaluru, Karnataka, India.",Sambhav Jain - Founder - Fam,https://twitter.com/_SambhavJain_,0,Sambhav Jain (@_SambhavJain_) / Twitter,"| Sambhav Jain | https://linkedin.com/in/sambhavanandjain | Sambhav Jain. Founder at FamPay  Forbes 30U30. FamIndian Institute of Technology, Roorkee. Bengaluru, Karnataka, India. | Sambhav Jain - Founder - Fam | https://twitter.com/_SambhavJain_ | 0 | Sambhav Jain (@_SambhavJain_) / Twitter"
Esham Hassain,https://linkedin.com/in/esham-hassain-208bbb136,"Self Motivated, cheerful, and obsessed with building digital products. With over 1 year of experience as a product designer, I have contributed to ...",Esham Hassain - Product Designer - FamPay,https://twitter.com/eshamhassain,"AI and education make a good duo. Introducing Duolingo Max. A subscription tier above Super that gives you access to your own personal, AI-powered language ...",Esham Hassain (@EshamHassain) / Twitter,"| Esham Hassain | https://linkedin.com/in/esham-hassain-208bbb136 | Self Motivated, cheerful, and obsessed with building digital products. With over 1 year of experience as a product designer, I have contributed to ... | Esham Hassain - Product Designer - FamPay | https://twitter.com/eshamhassain | AI and education make a good duo. Introducing Duolingo Max. A subscription tier above Super that gives you access to your own personal, AI-powered language ... | Esham Hassain (@EshamHassain) / Twitter"
Brijesh Bharadwaj,https://linkedin.com/in/brijeshbharadwaj,"Experience · Co-Founder · Investor · Product & Growth · Director of Product Management, Growth - Launched Dunzo Daily (19 min delivery) · Director of Product ...",Brijesh Bharadwaj - Co-Founder - MagicInsights.ai,https://twitter.com/bbharadwaj,0,Brijesh Bharadwaj (@bbharadwaj) / Twitter,"| Brijesh Bharadwaj | https://linkedin.com/in/brijeshbharadwaj | Experience · Co-Founder · Investor · Product & Growth · Director of Product Management, Growth - Launched Dunzo Daily (19 min delivery) · Director of Product ... | Brijesh Bharadwaj - Co-Founder - MagicInsights.ai | https://twitter.com/bbharadwaj | 0 | Brijesh Bharadwaj (@bbharadwaj) / Twitter"
Siddharth Sen,https://linkedin.com/in/siddharth-sen-78ab3927,An accomplished software engineer specializing in web services and technologies with extensive experience in the full life cycle of the software design ...,Siddharth Sen - Director of Software Engineering - DocuSign,https://twitter.com/shreesiddharth,0,Siddharth sen (@shreesiddharth) / Twitter,| Siddharth Sen | https://linkedin.com/in/siddharth-sen-78ab3927 | An accomplished software engineer specializing in web services and technologies with extensive experience in the full life cycle of the software design ... | Siddharth Sen - Director of Software Engineering - DocuSign | https://twitter.com/shreesiddharth | 0 | Siddharth sen (@shreesiddharth) / Twitter
Tanya Kumbhat,https://linkedin.com/in/tanya-kumbhat-74b29697,"I am the Digital Marketer of Australia's fastest-growing app development company for entrepreneurs, Launchpad App Development. ... Launchpad is a boutique ...",Tanya Kumbhat - Brand Manager - Fam,https://twitter.com/TanyaKumbhat,0,Tanya Kumbhat (@TanyaKumbhat) / Twitter,"| Tanya Kumbhat | https://linkedin.com/in/tanya-kumbhat-74b29697 | I am the Digital Marketer of Australia's fastest-growing app development company for entrepreneurs, Launchpad App Development. ... Launchpad is a boutique ... | Tanya Kumbhat - Brand Manager - Fam | https://twitter.com/TanyaKumbhat | 0 | Tanya Kumbhat (@TanyaKumbhat) / Twitter"
Vishal Jain,https://linkedin.com/in/vishalja,"Founding Engineer of Insieme ACI/Nexus 9000 team. Built and managed a team (60+ people in San Jose) responsible for Software Infrastructure, ...",Vishal Jain - CEO and Co-Founder - Valtix,https://twitter.com/triton_v,"Vishal S Jain's Tweets ... This is effectively a 20% tax on converting INR, or an acceptance by the Indian government that INR is worth 20% less. They have no ...",Vishal S Jain (@triton_v) / Twitter,"| Vishal Jain | https://linkedin.com/in/vishalja | Founding Engineer of Insieme ACI/Nexus 9000 team. Built and managed a team (60+ people in San Jose) responsible for Software Infrastructure, ... | Vishal Jain - CEO and Co-Founder - Valtix | https://twitter.com/triton_v | Vishal S Jain's Tweets ... This is effectively a 20% tax on converting INR, or an acceptance by the Indian government that INR is worth 20% less. They have no ... | Vishal S Jain (@triton_v) / Twitter"
Pratik,https://linkedin.com/in/pratikroychoudhury,"Pratik Roychoudhury · President & CEO, Teamlogic IT of Newtown PA · Report · Report · Activity · Experience · Education · Honors & Awards · Recommendations received.",Pratik Roychoudhury - President & CEO/Owner,https://twitter.com/realsehajpal,"Pratik Sehajpal's Tweets ; Jan 31, 2022. Love you PRATIKFAM I have Earned you all as my Family for Life and that's my WIN God Bless ♥️✨ # ...",Pratik Sehajpal (@realsehajpal) / Twitter,"| Pratik | https://linkedin.com/in/pratikroychoudhury | Pratik Roychoudhury · President & CEO, Teamlogic IT of Newtown PA · Report · Report · Activity · Experience · Education · Honors & Awards · Recommendations received. | Pratik Roychoudhury - President & CEO/Owner | https://twitter.com/realsehajpal | Pratik Sehajpal's Tweets ; Jan 31, 2022. Love you PRATIKFAM I have Earned you all as my Family for Life and that's my WIN God Bless ♥️✨ # ... | Pratik Sehajpal (@realsehajpal) / Twitter"
Chirag Maheshwari,https://linkedin.com/in/chirag1992m,"In the Fall'17 semester, I did a part-time internship as a machine learning research engineer at Imagen Technologies located in New York City.",Chirag Maheshwari - Senior Machine Learning Engineer,https://twitter.com/csoni11,"Chirag Maheshwari. @csoni11. Building the future of payments for teenagers at FamPay. Bengaluru, India Joined November 2012.",csoni11 - Chirag Maheshwari,"| Chirag Maheshwari | https://linkedin.com/in/chirag1992m | In the Fall'17 semester, I did a part-time internship as a machine learning research engineer at Imagen Technologies located in New York City. | Chirag Maheshwari - Senior Machine Learning Engineer | https://twitter.com/csoni11 | Chirag Maheshwari. @csoni11. Building the future of payments for teenagers at FamPay. Bengaluru, India Joined November 2012. | csoni11 - Chirag Maheshwari"
