Name,LinkedIn Profile,Role,Status,twitterUrl,description,title
Kush Taneja,https://linkedin.com/in/kushtaneja,Founder,Dog parent 🐶,https://twitter.com/iamkushtaneja,Kush. @iamkushtaneja. Founder at FamPay. @yougotfam. Forbes 30 under 30 | IIT Roorkee ‍   Building the future of banking for GenZ.,Kush (@iamkushtaneja) / Twitter
Sambhav Jain,https://linkedin.com/in/sambhavanandjain,Founder,The celebrity dancer 🕺🏻,https://twitter.com/_SambhavJain_,,Sambhav Jain (@_SambhavJain_) / Twitter
Harjot Singh Oberai,https://linkedin.com/in/harjot-singh-oberai-b6b055140,Founding Team,Donut connoisseur 🍩,https://twitter.com/harjot_oberai,"See new Tweets. Opens profile photo. Follow. Click to Follow harjot_oberai. Harjot Singh Oberai. @harjot_oberai. Bengaluru, India Joined March 2020.",Harjot Singh Oberai (@harjot_oberai) / Twitter
Aayush Gupta,https://linkedin.com/in/aayushgupta02,Founding Team,Organic farmer 👨🏻‍🌾,https://twitter.com/aayush03gupta,"Aayush Gupta's Tweets ... Gripping tales on love, loss, and survival. ... , for the sheer creative excellence of the author. ... Spread the loveMy Name is Not Devdas ...",Aayush Gupta (@aayush03gupta) / Twitter
Chirag Maheshwari,https://linkedin.com/in/csoni111,Founding Team,Pakka marwaadi 🤷🏻,https://twitter.com/csoni11,"Chirag Maheshwari. @csoni11. Building the future of payments for teenagers at FamPay. Bengaluru, India Joined November 2012.",csoni11 - Chirag Maheshwari
Anchit Shukla,https://linkedin.com/in/anchit96,Founding Team,Bathroom singer 🎤,https://twitter.com/anchit96,,Anchit Shukla 🤹 (@anchit96) / Twitter
Sai Prem,https://linkedin.com/in/saipremtelkar,Data Analytics,The Neophile 🔍,https://twitter.com/saiprem70261384,"Sai Prem · @SaiPrem70261384. ·. May 10, 2022. Girls attitude is same a boy loves a girl senserily and the the girl leves a boy in the middle of the way boys ...",Sai Prem (@SaiPrem70261384) / Twitter
Saransh Agarwal,https://linkedin.com/in/saransh-0407,Growth,The Croupier ♠️,https://twitter.com/SaranshVAgarwal,Saransh Agarwal. @SaranshVAgarwal. believe in empowering people thru tech ‍   • cares about web accessibility ♿️ • via CompSci.,Saransh Agarwal (@SaranshVAgarwal) ...
Hrishikesh Kogje,https://linkedin.com/in/hrishikesh-kogje-85aa5591,Creative,Podcast Lover 💬,https://twitter.com/hrishikeshkogje,Wrote a personal-ish essay about why I was destined to discover the Rose family during this pandemic. Read: https://filmcompanion.in/streaming/schitts-creek-on- ...,Hrishikesh Kogje (@HrishikeshKogje) / Twitter
Pratik Gajjar,https://linkedin.com/in/pratik-gajjar,Engineering,Valar Morghulis 🗡,https://twitter.com/pratikgajjar_in,Pratik Gajjar's Tweets ... Your talent determines what you can do. Your motivation determines how much you're willing to do. Your attitude determines how well you ...,Pratik Gajjar (@pratikgajjar_in) / Twitter
Ritwick Bhaduri,https://linkedin.com/in/ritwickbhaduri,Community,The Target Hitter 🎯,https://twitter.com/mairitwickhai,Is #REIT an emerging way of safer return from investment in real estates? I say yes! REIT - Real Estate Investment Trust Suggestion: Start investing in ...,Ritwick Bhaduri (@mairitwickhai) / Twitter
Diya Kaveramma,https://linkedin.com/in/kddiyakaveramma,Creative,In a relationship with food 💍,https://twitter.com/KavyaMookalera,"Upholding the concept of 'The brightening Diya to the empowering Lotus', the BJP mahila morcha of Kodagu district, Virajpet taluk lit 105 lamps on occasion of ...",Kavya Madhu Mookalera (Kaveramma)
Chitra Yadav,https://linkedin.com/in/chitra-yadav-849263178,Talent,Army Brat 🥇,https://twitter.com/chitradigi,"chitra yadav. @chitradigi. I am #digitalMarketer from bangalore and also a #webdesigner ,love to #play,#travel and #dance. Bengaluru, India Joined September ...",chitra yadav (@chitradigi) / Twitter
Vishnu,https://linkedin.com/in/vishnu-ramachandran-500336113,Design,Getting things done 🛠️,https://twitter.com/iVishnuManchu,I believe in Magic! India Joined December 2013.,Vishnu Manchu (@iVishnuManchu) / Twitter
Shifa Kareem,https://linkedin.com/in/shifakareem,Customer love,Pawsitive Potato 🐾,https://twitter.com/Shifakareem3,Shifa kareem. @Shifakareem3. Business development executive at e2eHiring | Market Research | Website and Social Media Networking | Product Management ...,Shifa kareem (@Shifakareem3) / Twitter
Tiara D'Souza,https://linkedin.com/in/tiaradsouza,Finance & Operations,Life of the ParTEA ☕️,https://twitter.com/sustainCMU,"While managing the CMU Alumni House prize wheel, Heinz MS candidate Tiara D'Souza shares what she learned about the Sustainable Development ...",Sustainability at Carnegie Mellon University
Charvi Saraf,https://linkedin.com/in/charvi-saraf-13a034133,Growth,Spaghetti savvy 🍝,https://twitter.com/charvi_saraf,"Hey everyone, I'm looking to find a place in and around Indiranagar/ Ulsoor/ MG Road, so I can move in on or before June 1st. Please let me know if you have any ...",Charvi Saraf (@charvi_saraf) / Twitter
Sajal Jajoo,https://linkedin.com/in/sajaljajoo,Creative,Drama Magnet 🧲,https://twitter.com/sajaljajoo,,Sajal Jajoo (@SajalJajoo) / Twitter
Saurabh Gothi,https://linkedin.com/in/cipher098,Engineering,Bookworm 📚,https://twitter.com/isaurabhjain471,See new Tweets. Opens profile photo. Follow. Click to Follow isaurabhjain471. Saurabh Gothi. @isaurabhjain471. Joined November 2010.,Saurabh Gothi (@isaurabhjain471) / Twitter
Janani Sathviga,https://linkedin.com/in/janani-sathviga-a39028119,Talent,Altruistic AF 🌻,https://twitter.com/_reculta,Introducing Janani Sathviga. She joins the Business Development team at Reculta and will be working out of Pune.,Reculta
Tanya Kumbhat,https://linkedin.com/in/tanya-kumbhat-74b29697,Creative,True Crime Junkie 🔪,https://twitter.com/TanyaKumbhat,,Tanya Kumbhat (@TanyaKumbhat) / Twitter
Jitendra Patel,https://linkedin.com/in/,Administration,Fam’s Go-To Guy 🕶,https://twitter.com/jitendrapatel6,"Message from Hon'ble Finance Minister, Government of India Sh. @arunjaitley. on nomination of India's candidate for elections to the post of Deputy Secretary- ...",jitendra patel (@jitendrapatel6) / Twitter
Abhay Sharma,https://linkedin.com/in/abhaysharma10,Digital Marketing,The Stargazer 🌌,https://twitter.com/Im_AbhaySharma,,Abhay Sharma (@Im_AbhaySharma) / Twitter
Aditya Kapnadak,https://linkedin.com/in/adityakapnadak,Customer love,Fitness Fanatic 💪,https://twitter.com/adikapnad,See new Tweets. Opens profile photo. Follow. Click to Follow adikapnad. Aditya kapnadak. @adikapnad. Joined July 2010.,Aditya kapnadak (@adikapnad) / Twitter
Akhil Nair,https://linkedin.com/in/akhilxnair,Engineering,Snorlax ⚡️,https://twitter.com/akhilgnair_,"Akhil Nair. @akhilgnair_. Co-Founder of Sphere of Gratitude | Vanderbilt'24. Katy, TX sphereofgratitude.org Joined March 2019.",Akhil Nair (@akhilgnair_) / Twitter
Aaprampal Singh,https://linkedin.com/in/aapram,Design,Introverted Otaku 😇,https://twitter.com/gurpree40913611,"Gurpreet Singh. @Gurpree40913611. Gurpreet Singh. Punjab, India انضم في سبتمبر ٢٠١٧ ... Aap rampal ji ko galt mat samjo. اقتباس التغريدة.",Gurpree40913611 - Gurpreet Singh
Shagun Khemka,https://linkedin.com/in/shagun-khemka,Engineering,Morning Guy ☀️,https://twitter.com/shagun_p,"""Seven brief lessons on physics"". By Carlo Rovelli First book of 2019. Never imagined physics could really be that interesting.... 2. Shagun Khemka.",Shagun Khemka (@shagun_p) / Twitter
