,Metric,Value
0,totalBlockingTime,0.0
1,observedFirstMeaningfulPaintTs,1813290116907.0
2,speedIndex,1000.0
3,observedLastVisualChangeTs,1813290881909.0
4,observedLoadTs,1813290247094.0
5,interactive,1025.0
6,observedFirstContentfulPaintAllFrames,300.0
7,observedLargestContentfulPaintAllFramesTs,1813290909343.0
8,largestContentfulPaint,1940.0
9,observedSpeedIndex,838.0
10,observedLoad,430.0
11,observedFirstContentfulPaintTs,1813290116907.0
12,observedTimeOriginTs,1813289816909.0
13,observedFirstContentfulPaint,300.0 
14,observedSpeedIndexTs,1813290654972.0
15,observedNavigationStartTs,1813289816909.0
16,observedCumulativeLayoutShiftMainFrame,0.08279299317047543
17,firstContentfulPaint,1000.0
18,observedTimeOrigin,0.0
19,observedFirstPaint,300.0
20,observedFirstContentfulPaintAllFramesTs,1813290116907.0
21,observedLastVisualChange,1065.0
22,observedTotalCumulativeLayoutShift,0.08279299317047543
23,observedDomContentLoaded,224.0
24,observedLargestContentfulPaintTs,1813290909343.0
25,totalCumulativeLayoutShift,0.08279299317047543
26,observedLargestContentfulPaintAllFrames,1092.0
27,observedFirstVisualChangeTs,1813290097909.0
28,observedFirstMeaningfulPaint,300.0
29,observedCumulativeLayoutShift,0.08279299317047543
30,observedLargestContentfulPaint,1092.0
31,cumulativeLayoutShiftMainFrame,0.08279299317047543
32,maxPotentialFID,116.0
33,observedTraceEnd,2752.0
34,observedNavigationStart,0.0
35,cumulativeLayoutShift,0.08279299317047543
36,observedDomContentLoadedTs,1813290041014.0
37,observedFirstVisualChange,281.0
38,observedFirstPaintTs,1813290116907.0
39,firstMeaningfulPaint,1000.0
40,observedTraceEndTs,1813292568902.0
