,Metric,Value
0,observedTimeOrigin,0.0
1,observedFirstMeaningfulPaint,208.0
2,observedFirstContentfulPaint,208.0
3,observedNavigationStartTs,66830999988.0
4,observedLargestContentfulPaintAllFrames,1062.0
5,observedDomContentLoadedTs,66831157910.0
6,speedIndex,1000.0
7,observedNavigationStart,0.0
8,largestContentfulPaint,1940.0
9,observedFirstPaint,208.0
10,observedDomContentLoaded,158.0
11,firstMeaningfulPaint,1000.0
12,observedTraceEnd,2878.0
13,observedTotalCumulativeLayoutShift,0.06152551732189242
14,observedFirstContentfulPaintTs,66831207996.0
15,observedLoadTs,66831564055.0
16,observedCumulativeLayoutShiftMainFrame,0.06152551732189242
17,observedLargestContentfulPaintAllFramesTs,66832061704.0
18,observedLastVisualChangeTs,66832042988.0
19,observedFirstContentfulPaintAllFramesTs,66831207996.0
20,observedFirstVisualChange,209.0
21,observedCumulativeLayoutShift,0.06152551732189242
22,observedSpeedIndex,802.0
23,observedLargestContentfulPaint,1062.0
24,totalCumulativeLayoutShift,0.06152551732189242
25,observedLastVisualChange,1043.0
26,observedTimeOriginTs,66830999988.0
27,observedTraceEndTs,66833878155.0
28,cumulativeLayoutShiftMainFrame,0.06152551732189242
29,interactive,1000.0
30,observedFirstPaintTs,66831207996.0
31,observedLoad,564.0
32,maxPotentialFID,16.0
33,observedFirstMeaningfulPaintTs,66831207996.0
34,observedSpeedIndexTs,66831801621.0
35,observedLargestContentfulPaintTs,66832061704.0
36,totalBlockingTime,0.0
37,cumulativeLayoutShift,0.06152551732189242
38,observedFirstVisualChangeTs,66831208988.0
39,observedFirstContentfulPaintAllFrames,208.0
40,firstContentfulPaint,1000.0
