caption,num_likes,num_comments,cluster
update: the agents (of chaos) at work 💪🏻,3847,56,1
sneak peek at the Fam headquarters 👀,5726,116,1
"50 FREE top-ups up for grabs 🤩

1️⃣ tag 2 friends
2️⃣ make sure all of you follow us

and stand a chance to win 🥳",15523,734,2
Drake ✅ Diljit 🤩🤩🤩❤️❤️❤️,31783,404,1
results shmesults 😤,14304,93,1
𝒮𝑜𝓇𝓇𝓎,18929,391,1
"We’re giving FREE Google Play Redeem Codes to every 20th comment👇 

And if you can’t wait to get level up your gaming, head to the FamPay app and buy GPRCs now 🤩",11592,9474,4
"if your white shoes are still white at the end of the day, u a baddie 😎",11431,186,1
🙏🙏🙏,13209,201,1
"meet the first 5 Agents of Project X 😎

ONLY 5 spots left! 
Apply now 🏃🏻🏃🏻🏃🏻",19655,426,1
"why you be reading this??
go record that video now 🏃🏻

entries close at midnight on April 10 ⌛",19359,395,1
"AGENTS REQUIRED 👮🏻
10 spots. Exclusive rewards. The chance to build the greatest app ever. 

1️⃣Simply record a video of yourself telling us why we should choose you, and pick a code name (ours is AgentX)😎

2️⃣ Upload on your story or DM and tag us at @fam.india to become a part of projectX.",11908,316,1
caution ⚠️ watch at your own risk,12764,243,1
30k likes and we reveal the next steps 🔎,39785,1160,0
ptsd incoming 😥,31532,402,1
"tag a friend and if they reply within 5 mins, you could win a FREE data top-up 😎",30407,10606,4
sirf Dhoni chahiye 🤓,14839,577,1
we’ll start- this is my bestfriend who’s taking back their ex for the 4th time,11206,1343,1
admin chose comp science 🤓,10835,182,1
"tag your squad in the comments, make sure to follow us and stand a chance to win a movie night out with your friends 😎",15642,639,2
"Not in your mom’s locker, or your fave rapper’s teeth, gold should be right in your wallet 😎

Hear @prannayjoshi explain the very basics of digigold and why it’s a safe and the only investment for teens 🤩",11307,179,1
keep it going in the comments 👀👇🏼,18562,218,2
4. Take your friend’s tupperware 😈,11036,145,1
which one are you buying first? 🤪🛍️,18529,327,1
"paying your parents electricity bill has never been more rewarding 😍

⏳ it takes 1 min
🤑 gets you rewards up to ₹500 and 2X FamCoins
🥲 might finally convince your parents that you’re responsible

head to the FamPay app to pay your bill now! 🏃🏻‍♀️",16193,268,3
"if you are an iOS user, just update your app to get off the waitlist and get upgraded payments now 🤩✨🥳",15388,326,3
bringing you the best combos on this oscar-winning monday 🫡,29442,337,1
remember at the end of the day: aaaall is well 🫶,340994,1229,1
Bhai kya kar raha hai,33008,537,1
"race dekhu? ki board exams padhai karu? 🤔🏎️

what’s your choice?",21215,427,1
if you wanna feel 🥰🥹😅🧡 as well - upgrade kar lo,21790,563,1
"verify, upgrade and enjoy the smoothest, fastest payment experience on FamPay 🤩",13124,996,1
"Verify kiya? 

Nahi kiya toh abhi karo link in the bio pe click karke. Chalo, run 🏃🏻‍♀️",30047,2472,1
"it’s not just a great day, it’s an upgrade day 🤭😁🥹

Head to the app and get verified now 🏃‍♀️🏃",20768,1145,3
"No, we’re not going anywhere.
We’re just giving you the best payments upgrade ever.

Head to the app to upgrade now!",22812,1402,3
"it’s been the best journey and we are so so grateful to every single of our 500K Fam 🫶🫶🧡

see you at 1 million 🥳🥳🌷",27383,397,1
we’ll start- idli dosa kitchen,13570,1707,0
can’t tell if the last one or the second last one has us feeling more stressed 😥,29894,405,1
admin ki tabayyat theek nahi hai frens,18901,283,1
"Mat socho video dekh lo ￼🤭

Hear our boi @prannayjoshi explain the very basics of running a business and become the next Teen Shark 😎",16631,161,1
"every 10th comment gets a FREE data topup 🤩🤩🤩

and if you just can’t wait recharge on FamPay and
⚡️ get 2x FamCoins on every recharge
⚡️ No hidden fees
And it only takes a minute",21110,6989,4
"get upto Rs 500 and 2X FamCoins on your first electricity bill payment 🤩

there’s no extra charge 🤭 and we’re pretty amped up about this 😜

head to the app now 🏃🏃‍♀️🏃‍♂️",15540,179,3
"@aarizshroff won FREE VIP tickets to @lollaindia on FamPay and this is how it went 🥹✨

head to the app and participate in super cool giveaways now 🏃🏃‍♂️🏃‍♀️",11947,253,3
just in case you weren’t already reminded that today is Valentine’s Day 😀😀😀,18454,299,1
har phone mein FamPay hona chahiye,33526,344,1
love is in the a̶i̶r̶ DMs 💖,25207,469,1
"this could be you 😎  now win an Apple Watch Series 8 on FamPay 🤩

head to the ‘Rewards’ section on the app and participate now!",14274,168,3
ChatGPT tell me how to skip Valentine's week,23782,255,1
no ice cream.. no wait…ice cream with ketchup… no wait…no ice cream..no wait….no,19016,337,1
we swear all the elaichi somehow ends up on our plate 😒,27526,370,1
"when you like this 🥳
when you share this 🕺💃",64208,360,0
acha chalta hu duaon mein yaad rakhna 😢,15522,172,1
"bois take the hint 👀
share these discounts from @nuawoman with the women in your life 🤗

just click the link in bio and get sharing! 

*up to Rs.200",22573,297,3
"every 10th comment gets a FREE data topup 🤩🤩🤩

and if you just can’t wait recharge on FamPay and
⚡️ get 2x FamCoins on every recharge
⚡️ No hidden fees
And it only takes a minute 😏",20470,5766,4
do not read this,28371,3116,1
"is this a sign to pay your parents’ electricity bill?
yes. yes it is.

⏳ it takes 1 min
🤑 gets you rewards up to ₹500 and 2X FamCoins
🥲 might finally convince your parents that you’re responsible

head to the FamPay app to pay your bill now! 🏃🏻‍♀️",18690,320,3
"PS5 for Rs 6000 🤙An Activa at Rs 3000 🥹Flight tickets at Rs 4000 ✈️ 

No we’re not crazy 🤠 Equated Monthly Installment or EMI is the answer.

Hear our boi @prannayjoshi explain why (or why not) EMI 👆",14705,191,1
"there’s a game for literally everyone 😍

get your daily dose of FamPlay, play super fun games 🤩 win cash rewards 🤑 and FamCoins 😎",12901,214,3
"forget them, they’re hissstory 🤭",42345,536,1
watched Into The Spiderverse twice 🤓🤙,17685,562,1
here’s the first: 32031XJ59M9XE9JT,23681,1512,1
did y’all yell Shivaa too or was it just us 👀,22677,187,1
get us 35k likes on this post and we’ll asli mei make and send these hoodies to some of you 😎🤙,35241,1320,0
"Yes, using your birthday as your pin is a bad idea 🙄 
No, saving the pin on notes is not a good idea 🤓

And no, no cats were harmed in the making of this video 🤠

Hear our main man @katariaaryann explain what your bank account may be and why 👆

And once your do, head to our comments to answer a few questions on current and savings account to win 500 FamCoins 🤩✨",13578,138,1
"love talking to your friends? Here’s how you can talk to them for FREE for an ENTIRE MONTH🤩

💬Comment as many times as you want on this and our previous post

✨ 3 of you who catch our admins’s attention can win recharges for a whole 30 DAYS!",18720,3718,2
we’ll start- it’s a portable speaker,13488,2671,0
BIG BRAIN ENERGY 🧠,13783,202,1
currently reading Hari puttar aur maut ka taufa 🤓,27483,160,1
5 bonus points for guessing all 5 🌟,25326,605,1
Relationship status: its caffeinated 🤡,22089,104,1
every 20th comment wins 3 Google Play Recharge Codes which you can share with your squad (or not 🤡),11199,2308,4
1 like = 1 good luck bro,21782,128,0
