shortcode,caption,upload_time,num_likes,num_comments,is_video,video_views,url
CsTlx1SgF4t,what would you ask 👀,2023-05-16 19:13:49+05:30,6387,64,True,42321,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/346910989_2501684440012501_3161813215063780844_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=x1DvaRNsP80AX_1UQq9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA245oLjXo35i_WxkPUKhvbdX5cTIGgspZ2nNGnu8BlaA&oe=646675F8&_nc_sid=f70a57
CsOIQgFyTdV,❤️🥹🥹👩‍👦,2023-05-14 16:18:20+05:30,16195,209,False,,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/346677500_204431729080281_6499905121773499238_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=L8c5aQLuGUUAX-aiiWU&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwMjQ1MzUwNDk4NDk5Njk3NQ%3D%3D.2-ccb7-5&oh=00_AfCkKU6Tv-uIKNLBUjjdGSQtj73fdFzM_DxtKPgeUdEuNA&oe=646A1384&_nc_sid=f70a57
CsMIyO7pnub,"with benefits so powerful, FamX Ultra had to be a Superhero 💪🏻💪🏻

Unlock higher limits with FamX which means
✅you can add more money to your wallet
✅ spend as much as you want!

Head to the app now to check your limit eligibility 🏃🏃‍♀️",2023-05-13 21:44:50+05:30,6806,145,True,56896,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/345674148_635341278052145_3349800577202296460_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=nxDzFRHUn4wAX_PKiO7&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDekhh3RwLfzhgFYNWlZutYdE74fndEe_9Vv7YH3bYqOw&oe=6466737B&_nc_sid=f70a57
CsLx3gMJAuC,"congrats to to all the students who made it through their boards 🎉👏

no matter what your result, you can build be successful as long as you try hard enough 🌼

now go take time to celebrate months of hard work 🥳",2023-05-13 18:24:12+05:30,14750,382,False,,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/346313847_198642696320536_1880231496308486594_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=g4dq8EeJS8YAX95lQ18&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwMTc5MjA4MzI4MjAzNjUzMw%3D%3D.2-ccb7-5&oh=00_AfAvWopHO2lfsRXboPmEYedOyXxCrMQkiCmjQX-7KkAKhQ&oe=6468D350&_nc_sid=f70a57
Cr5yP-wJ3Mn,"👀 can you spot the @fastrackworld watch? 🕰️🔍

we’re giving away a super cool Fastrack watch to a lucky winner who can find the watch in this reel! 🎉

To enter:
1️⃣ Follow @fam.india and @fastrackworld 
2️⃣ Screenshot where you spot the watch in the video 
3️⃣ Head to our stories to add your screenshot 

10 lucky winners will win exclusive discounts from Fastrack 😎

#Fastrack #FastrackWorld #FastrackWatches⌚",2023-05-06 18:43:28+05:30,9754,471,True,95749,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/344892729_922709978987037_2227374209623795035_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=IPmz_XqeqNQAX_oNIRa&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD2ja1Wc9Coq_ui_roX74BlHnpqeFUxtL9OtnX0ETCv9g&oe=64663BEF&_nc_sid=f70a57
Cr3cB2HpcB9,tag a gamer friend and get them to follow us and both of you could win FREE Google Play Redeem Codes 🤩🤯🤩,2023-05-05 20:48:34+05:30,16549,2199,False,,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/344865791_197643183113422_5843091921304962006_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=HhwmpdwsVoMAX9GzUoT&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA5NjA2NjU0MDk3MjY1NDcxNw%3D%3D.2-ccb7-5&oh=00_AfCQu-2PCCjObEsXxj7oDj-CJeCagBP50sEtVU1pjgc2Ew&oe=64699C81&_nc_sid=b3163e
Cr07LRzpjJB,"new name, new app, new card and so much more coming up ✨ 

but let’s begin at the very beginning- what’s a spending account 🥸",2023-05-04 21:29:02+05:30,7708,144,True,63968,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/344513707_727952295738271_614556375291642248_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=51uhqC1vTL0AX8X04rK&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfALwMoqlg_8ePaRz9eR_m3zEKZvx0kFmipa30fRi6H1Dw&oe=6465ED38&_nc_sid=f70a57
CrvgPeppPuJ,"toothpaste doesn’t work guys, trust us we’ve tried 😭",2023-05-02 18:55:04+05:30,16008,175,True,111220,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/344165206_644337170860630_813022860410078369_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=DYMQyzArfmYAX-HYtQ3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCGhJ9Qk6SnAqwCNH8LK-bq6wRVLRg6eSa_xa91DniUwg&oe=646600ED&_nc_sid=f70a57
CrtD1L6gVSt,"its time to get ULTRA 🔥🤑🔥

☑️ wayyy higher limits
☑️ convert FamCoins to cash
☑️ a FREE FamX card
☑️ ATM withdrawals with 6 free
☑️ call and chat support on priority 
☑️ 2X FamCoins on Google Redeem codes and Gift Cards

aaaaand it’s open to everyone ages 11+ 

head to the app now 🏃🏃‍♂️🏃‍♀️",2023-05-01 20:10:26+05:30,9404,274,True,68512,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/343825363_205331738946598_770227746258046419_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2UW1xAJLPp8AX-QOH0f&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA62JcLtYtBDWbcPqk9y9iyKI8HNhbtW93h_f1jpLxLyQ&oe=6465F844&_nc_sid=f70a57
Crn4uvcpL6q,"because you deserve ULTRA perks 🥳

introducing the FamX spending account- the only free account that you can use to save, spend, invest and earn rewards 🤑

Ultra is a super cool membership to level up your FamX account 😎

check out how 👆👆",2023-04-29 19:51:31+05:30,13363,368,False,,https://instagram.fdel31-1.fna.fbcdn.net/v/t51.2885-15/343716277_768770391531486_259173068051286945_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fdel31-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=aLsLKj6feNEAX-Zyoq9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-IT_YwnIxyPNsg4M4VFSd-JJ3ZAVHND9GryjWUjCTmg&oe=646677C2&_nc_sid=f70a57
