Lol 🤣, sangar_yash_, CqX_p0lDtOw
lol, lassi_boi_krishh, Cmis2atKvSe
Lol, shine_jayyesh, CoKfDDOJey1
Lol, zubeir_jafri786, CleBjcSJ1iu
4939 lol, sanavinaik_, CdpsdKcD1hh
Lol let's try @nitya_nagpal18, vansh_gakhar, CkivS5hg7Cg
Lol, aryansingh.zz, Cb2hTarjOOT
Lol, spark_alhan, CoxIFOnJSbC
@saransh_pvte  lol 😂, nara_0071, Cifa8TkpuC6
Lol, dhruvgoyalz, CW-8tmpB24Y
@priyankshi_1234 all the time lol, anjanakonapur, CeBcJj-p_G6
Lol saw this in his new vid, arinparab, CGYAo6DjPD2
@kshiteh lol, rockindp, Ca6xWxvj9xg
lol, lolhriday, CoKfDDOJey1
@arjitgupta2004 😂 lol bhai mera scene, mrityunjaynagariya, ChKVTOHDmAv
9873 lol i have 1300only, parmeshar_azeez, CdpsdKcD1hh
Lol, ig_ankushom, CbP0W30D4DO
Apun ⭐ spam karega lol, unknwn.aayush, Cj8Xq7BS2Wx
Lol merya sachi mai 69 hai 🌚🌚🌚🌚, os_4xvolt, CnE9GLAKryp
Lol, haarsh.93_, CoNJ-J5pAJj
Y'all gave me 50 rupee 😍😍😍 THANK YOU SO MUCH LOL 🤣, ______lmnop, Cb2hTarjOOT
My mom is using my FamCard lol, notkrishivsuwarna, CLJwZkHjfZh
Lol, rajatgirkar, CoxIFOnJSbC
Lol, gunmaynator, CoxIFOnJSbC
3019 lol 😂😹, fowzxxn.xo__, CdpsdKcD1hh
Lol, it_x_nobita, CrEBhhjpJBD
I'm late lol, nischayaviation, CrEBhhjpJBD
I miss online school because it was so good and it wasn’t too much for us lol I dont it lol I just wanted you guys too and it wasn’t like I didn’t, aarav_middha, CdVsitbJ6P5
48 lol😂, jeet_2110, CnE9GLAKryp
Console comando big 🧢 hop on lol hop on modern warfare and I'll smoke you lol, real0taku.exe, Cq0fCzaJzPN
Lol, shashank_mer, Cmy8izyqKcF
Lol, saksham.kennys, CoNJ-J5pAJj
Lol 😂, rudranil_ganguly_, Cj8Xq7BS2Wx
Lol that location tag 😂😂, just_aadesh, CbcfzcoDhjt
Sksk lol, rawneeet.py, CVQPadSp_eu
Lol, shekhar_2g, CrEBhhjpJBD
Lol, deepsbhambar, Clq5u1ppAKd
Lol i m not on 10, abrosh2006, CoNJ-J5pAJj
Ey please topup lol, shaauryasingh, Clq5u1ppAKd
Lol, itsnotme_2969, Clq5u1ppAKd
