username,text,shortcode
harish.mouli.5,Why the fam card is not free for those who already bought before?😢,CrduTV9Jw-5
vishaljainisb,🔥🔥🔥❤️❤️❤️,CrduTV9Jw-5
ridima_bhargava,❤️,CrduTV9Jw-5
suppuritto,😍😍😍,CrduTV9Jw-5
tanmaypatil__579,❤️🔥,CrduTV9Jw-5
ayan__o7__,Nice ❤️❤️❤️,CrduTV9Jw-5
ayan__o7__,Fampay in the best app,CrduTV9Jw-5
brijeshbharadwaj,🔥🔥🔥🔥,CrduTV9Jw-5
__.afan__,It was amazing thank you fampay,CrduTV9Jw-5
radhikabhutada54,🔥🔥🔥,CrduTV9Jw-5
adityasingh9938,Thank you fan India🔥🔥,CrduTV9Jw-5
zaiks_m,Upgraded 👍🏻,CrduTV9Jw-5
reel_arefeelings,Ooooo,CrduTV9Jw-5
monicasatyakumar,😮😮😮,CrduTV9Jw-5
packston141,Now I think that akudo is better option than fampay :)),CrduTV9Jw-5
reflex_baba.op,My friend mobile me fampay update nahi aya... Latest update is the best 😍😍 👏,CrduTV9Jw-5
kavydeshwal,Superrrr fast 🏇 🔥🔥🔥,CrduTV9Jw-5
_.anuj_sharma_,Dm check krlo mere 150 rs khagye,CrduTV9Jw-5
vinay_sharma_147,Every tag them on Twitter and DM them again and again for getting the FamCard for free. Why should we them again and again for the same card,CrduTV9Jw-5
_xiao._11,Purana wala card 200 ka liya tha 🥲uska kya,CrduTV9Jw-5
_akshay_hejamadi,Old fam card 😭😭,CrduTV9Jw-5
vaibhavduggal_,Guys I think you can make a video on telling the parents why their children should have fampay 🔥,CrduTV9Jw-5
____arman01____,I have a suggestion make the yellow X into red,CrduTV9Jw-5
lisha.kothari,Loveeeee itttttt,CrduTV9Jw-5
ved__________0,Bring old fampay back,CrduTV9Jw-5
i.m.bot_v4.9,😍OMGGGGGGG🔥🔥🔥,CrduTV9Jw-5
harshyadav8826,Fampay card work in ATM,CrduTV9Jw-5
vai.bhav___25,Only 6 time atm withdrawal?? Per year that is very low,CrduTV9Jw-5
melronmartis,MAD! 🔥💯,CrduTV9Jw-5
kulrajsinghdhillon,New app is freezing,CrduTV9Jw-5
jeets_rocks,🔥,CrduTV9Jw-5
trusted_pandat,I'm poor in 0.01 seconds 😂😂,CrduTV9Jw-5
rishav_1991s,I am nor getting fam Card  after update 😑,CrduTV9Jw-5
anish_girii_,Krdiya card order but why did we have to pay 💀 Hume to bola Gaya tha ki free hoga 💀,CrduTV9Jw-5
pv_hk_21,Yeh fampay.. oh sorry famx ur new app is just best also just upgraded to ultra plan... Dude it's just amazing x 10000000 just wanted to know... How much time it will take approx to reach the card to my doorstep?,CrduTV9Jw-5
sangamchabbra_,🔥,CrduTV9Jw-5
gargiraichand888,🔥,CrduTV9Jw-5
aditya___291,Idk if admin will read this but we are disappointed becus of the plans ___why we need to buy famcrd again --2___why we need tk buy plan to spend  mony and whys there limits and I think I am leaving fampay byee,CrduTV9Jw-5
harmansiingh_,INTERFACE CHANGE HUA HAI KYA......... MAINE UPDATE NHI KIYA BTAO .............,CrduTV9Jw-5
14_naman007,FamX ultra toh le lunga par niche likha tha ki pancard  verify karna padega  higher limit ke liye toh apna pancard verify karna padega ya parents ka?,CrduTV9Jw-5
hued_blue,🔥🔥,CrduTV9Jw-5
_itz_just_parth,"Fampay we r so angry with ur services we pay the money for previous card (IDFC) but now ur not giving famcard for free , fampay if u can't give famcard for free atleast give refund Fampay i didn't except that from u 😡🤬",CrduTV9Jw-5
ronitawadiya,It's totally useless! And so slow!🤦🏻,CrduTV9Jw-5
om_rane__pvt,"BiG Fail incoming, if fampay don't remove the charges",CrduTV9Jw-5
karan.k_,LFG 🔥,CrduTV9Jw-5
aadi._.banerjee,Will the old card work ??,CrduTV9Jw-5
_.prakhar_singh_,@fam.india why do we need to pay for the famcard again i have already bought the physical fam card pls give me refund for that,CrduTV9Jw-5
