username,text,shortcode
svs_legacy,I liked that fampay bag,CrXogaGgxAL
lakshay_870_,I want fampay baggggggg 😢,CrXogaGgxAL
rajsarkar0987,Physical Card kab tak ayagha fampay support hi nahi kartay mujay invite karlo mai acha designer kar lungha card ka,CrXogaGgxAL
mr.psykovsky,My Fampay Not Working 🥲 Some Error Occurred Showing,CrXogaGgxAL
itz_kansal_sahab,Bhai famcard kbb tkk ayega yrr😢,CrXogaGgxAL
ajboy_ajinkya,here is an idea :- 卐,CrXogaGgxAL
stark_industries.s,Logo main bana do ?,CrXogaGgxAL
hanu_gupta07,Hahaha it's looking like a cat fight more than project 🤡,CrXogaGgxAL
thenameismalhar,🥲 bichare fampay ke employees,CrXogaGgxAL
aaru_s_g,*No fampay employees were hurt during this reel*,CrXogaGgxAL
hasnainsheikh70,Logo and it's animation are best no need to change,CrXogaGgxAL
itz_jaat__.07,Koi 10 rupe dedo plz 😢,CrXogaGgxAL
shobhitkumar_007,Yeh sab krlo card 10 saal baad dena,CrXogaGgxAL
itz_jaat__.07,Koi 10 rupe dedo plz 😢,CrXogaGgxAL
shubham_sarwar_06,Top up kab karke doge,CrXogaGgxAL
aaki2869,May i help you,CrXogaGgxAL
akhan001434,Dega kya??,CrXogaGgxAL
littleshi.t,I wanna work with you guys just for the fampay merch 😫,CrXogaGgxAL
xz_ashu,I heard if you comment first then fampay gives you a gift :),CrXogaGgxAL
justshivam07,Old wale card Ka kya Kia doston 😂,CrXogaGgxAL
____tridip,Damm want the fampay merchandise 😫,CrXogaGgxAL
shikhar_deep_singh,Please increase the slots. I really want to be a part of the project X😢,CrXogaGgxAL
saad_official_999,My fam pay is not working 😢 is there any glitch in fam pay?,CrXogaGgxAL
rudra_shankara,😂 New logo will fly with X,CrXogaGgxAL
trueblue.yt,This is nothing... Abhi hamari baari aaegi so u will see 😈,CrXogaGgxAL
yadav.gitanshu_,Bhen ke lodo Mera card expire kar rakkha h usko thik kardo,CrXogaGgxAL
harmansiingh_,Bhadia loogo bnado bhaiiii,CrXogaGgxAL
mohd__waseem__9,How we join,CrXogaGgxAL
_.itz.michael.06._,Guys how can I buy fampay merchandise,CrXogaGgxAL
gnaniram_91,Hire me I'll do IY,CrXogaGgxAL
minorbanking,Kis kis ko @fam.india ka backpack acha lga Orr chaiye bi 🔥🔥,CrXogaGgxAL
azaad007_n,"Hey @fam.india want new logo?? Point pr aata hu, kitna Paisa doge bnane ka?",CrXogaGgxAL
