Link,Cache-Control,Expires,Content-Encoding
https://famapp.in/,,,gzip
https://famcard.me/,,,gzip
https://fampay.in/,,,gzip
https://fampay.in/about,,,gzip
https://fampay.in/blog,max-age=604800,"Thu, 25 May 2023 22:47:25 GMT",gzip
https://fampay.in/blog/tag/teens/,max-age=604800,"Thu, 25 May 2023 22:47:25 GMT",gzip
https://fampay.in/blog/decor-ideas-that-would-transform-your-room-at-home-or-hostel/,max-age=604800,"Thu, 25 May 2023 22:47:26 GMT",gzip
https://fampay.in/blog/social-commerce-making-money-just-through-social-media/,max-age=604800,"Thu, 25 May 2023 22:47:26 GMT",gzip
https://fampay.in/blog/perks-of-using-the-famcard-me/,max-age=604800,"Thu, 25 May 2023 22:47:26 GMT",gzip
https://fampay.in/blog/13-boredom-busters-for-teens/,max-age=604800,"Thu, 25 May 2023 22:47:26 GMT",gzip
https://fampay.in/blog/how-can-teens-open-shops-on-instagram/,max-age=604800,"Thu, 25 May 2023 22:47:27 GMT",gzip
https://fampay.in/blog/author/arohi/,max-age=604800,"Thu, 25 May 2023 22:47:27 GMT",gzip
https://fampay.in/blog/tag/teens/page/2/,max-age=604800,"Thu, 25 May 2023 22:47:27 GMT",gzip
https://fampay.in/blog/tag/parents/,max-age=604800,"Thu, 25 May 2023 22:47:28 GMT",gzip
https://fampay.in/blog/healthy-wealth-how-can-parents-have-a-healthy-discussion-about-money-with-their-children/,max-age=604800,"Thu, 25 May 2023 22:47:28 GMT",gzip
https://fampay.in/blog/being-a-digital-parent-tips-to-mentor-everything-digital-that-your-teen-uses/,max-age=604800,"Thu, 25 May 2023 22:47:28 GMT",gzip
https://fampay.in/blog/top-5-tips-to-communicate-better-with-your-teenager/,max-age=604800,"Thu, 25 May 2023 22:47:28 GMT",gzip
https://fampay.in/blog/a-to-z-of-teenage-finance-financial-terms-every-parent-should-teach-their-teens/,max-age=604800,"Thu, 25 May 2023 22:47:29 GMT",gzip
https://fampay.in/blog/cyber-bullying-what-can-you-do-as-a-parent/,max-age=604800,"Thu, 25 May 2023 22:47:29 GMT",gzip
https://fampay.in/blog/4-ways-to-help-your-teen-learn-to-become-financially-responsible/,max-age=604800,"Thu, 25 May 2023 22:47:29 GMT",gzip
https://fampay.in/blog/evolution-of-parenting-parent-of-a-millennial-vs-parent-of-a-genz-kid/,max-age=604800,"Thu, 25 May 2023 22:47:30 GMT",gzip
https://fampay.in/blog/pocket-money-for-teenagers-why-it-matters/,max-age=604800,"Thu, 25 May 2023 22:47:30 GMT",gzip
https://fampay.in/blog/things-you-must-know-as-a-teens-parent/,max-age=604800,"Thu, 25 May 2023 22:47:30 GMT",gzip
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,max-age=604800,"Thu, 25 May 2023 22:47:31 GMT",gzip
https://fampay.in/blog/tag/parents/page/2/,max-age=604800,"Thu, 25 May 2023 22:47:31 GMT",gzip
https://fampay.in/blog/tag/news/,max-age=604800,"Thu, 25 May 2023 22:47:31 GMT",gzip
https://fampay.in/blog/teen-focused-fintech-startup-fampay-raises-38m-in-series-a/,max-age=604800,"Thu, 25 May 2023 22:47:31 GMT",gzip
https://fampay.in/blog/fampay-is-set-to-launch-indias-first-and-biggest-digi-fest-for-teens/,max-age=604800,"Thu, 25 May 2023 22:47:32 GMT",gzip
https://fampay.in/blog/zetas-fusion-to-power-fampays-cashless-payments-for-gen-z/,max-age=604800,"Thu, 25 May 2023 22:47:32 GMT",gzip
https://fampay.in/blog/digital-payments-exploding-in-india-yet-the-tech-savvy-teens-still-stuck-paying-with-cash-survey-by-fampay-indias-first-neobank-for-teenagers/,max-age=604800,"Thu, 25 May 2023 22:47:32 GMT",gzip
https://fampay.in/blog/this-fintech-startup-by-iit-roorkee-alum-is-giving-teenagers-financial-freedom-responsibly-yourstory/,max-age=604800,"Thu, 25 May 2023 22:47:33 GMT",gzip
https://fampay.in/blog/fampay-announces-launch-of-indias-first-numberless-card/,max-age=604800,"Thu, 25 May 2023 22:47:33 GMT",gzip
https://fampay.in/blog/fampay-raises-4-7m-from-y-combinator-sequoia-venture-highway-others/,max-age=604800,"Thu, 25 May 2023 22:47:33 GMT",gzip
https://fampay.in/blog/tag/famsays/,max-age=604800,"Thu, 25 May 2023 22:47:33 GMT",gzip
https://fampay.in/blog/a-practical-guide-to-app-store-optimization/,max-age=604800,"Thu, 25 May 2023 22:47:34 GMT",gzip
https://fampay.in/blog/author/garvita/,max-age=604800,"Thu, 25 May 2023 22:47:34 GMT",gzip
https://fampay.in/blog/365-days-of-internship-at-fampay/,max-age=604800,"Thu, 25 May 2023 22:47:34 GMT",gzip
https://fampay.in/blog/how-instagram-reel-can-really-grow-your-brand/,max-age=604800,"Thu, 25 May 2023 22:47:35 GMT",gzip
https://fampay.in/blog/author/suhani/,max-age=604800,"Thu, 25 May 2023 22:47:35 GMT",gzip
https://fampay.in/blog/config-variables-changing-system-behaviour-live-in-production/,max-age=604800,"Thu, 25 May 2023 22:47:35 GMT",gzip
https://fampay.in/blog/author/sameeran/,max-age=604800,"Thu, 25 May 2023 22:47:35 GMT",gzip
https://fampay.in/blog/a-marketers-guide-to-moment-marketing/,max-age=604800,"Thu, 25 May 2023 22:47:36 GMT",gzip
https://fampay.in/blog/author/priyanka/,max-age=604800,"Thu, 25 May 2023 22:47:36 GMT",gzip
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,max-age=604800,"Thu, 25 May 2023 22:47:36 GMT",gzip
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,max-age=604800,"Thu, 25 May 2023 22:47:36 GMT",gzip
https://fampay.in/blog/author/saipremtelkar/,max-age=604800,"Thu, 25 May 2023 22:47:37 GMT",gzip
https://fampay.in/blog/tag/famsays/page/2/,max-age=604800,"Thu, 25 May 2023 22:47:37 GMT",gzip
https://fampay.in/blog/tag/community/,max-age=604800,"Thu, 25 May 2023 22:47:37 GMT",gzip
https://fampay.in/blog/genz-commits-to-fight-covid-19/,max-age=604800,"Thu, 25 May 2023 22:47:38 GMT",gzip
https://fampay.in/blog/life-of-an-intern-is-love/,max-age=604800,"Thu, 25 May 2023 22:47:38 GMT",gzip
https://fampay.in/blog/author/ayushi/,max-age=604800,"Thu, 25 May 2023 22:47:38 GMT",gzip
https://fampay.in/blog/tag/culture/,max-age=604800,"Thu, 25 May 2023 22:47:38 GMT",gzip
https://fampay.in/blog/12-queer-led-small-businesses-you-need-to-support-this-pride-month/,max-age=604800,"Thu, 25 May 2023 22:47:39 GMT",gzip
https://fampay.in/blog/3-financial-lessons-from-nature-itself/,max-age=604800,"Thu, 25 May 2023 22:47:39 GMT",gzip
https://fampay.in/blog/living-life-genz-style/,max-age=604800,"Thu, 25 May 2023 22:47:40 GMT",gzip
https://fampay.in/blog/remote-working-divided-by-distance-united-by-mission/,max-age=604800,"Thu, 25 May 2023 22:47:40 GMT",gzip
https://fampay.in/blog/tag/growth/,max-age=604800,"Thu, 25 May 2023 22:47:40 GMT",gzip
https://fampay.in/blog/getting-your-generations-right-millennials-v-s-genz/,max-age=604800,"Thu, 25 May 2023 22:47:40 GMT",gzip
https://fampay.in/blog/author/sajal/,max-age=604800,"Thu, 25 May 2023 22:47:41 GMT",gzip
https://fampay.in/blog/when-building-for-genzs-build-it-on-discord/,max-age=604800,"Thu, 25 May 2023 22:47:41 GMT",gzip
https://fampay.in/blog/author/aditi/,max-age=604800,"Thu, 25 May 2023 22:47:41 GMT",gzip
https://famapp.in/,,,gzip
https://famcard.me/,,,gzip
https://fampay.in/,,,gzip
https://fampay.in/about,,,gzip
https://fampay.in/blog,max-age=604800,"Thu, 25 May 2023 22:47:51 GMT",gzip
https://fampay.in/blog/tag/teens/,max-age=604800,"Thu, 25 May 2023 22:47:52 GMT",gzip
https://fampay.in/blog/decor-ideas-that-would-transform-your-room-at-home-or-hostel/,max-age=604800,"Thu, 25 May 2023 22:47:52 GMT",gzip
https://fampay.in/blog/social-commerce-making-money-just-through-social-media/,max-age=604800,"Thu, 25 May 2023 22:47:52 GMT",gzip
https://fampay.in/blog/perks-of-using-the-famcard-me/,max-age=604800,"Thu, 25 May 2023 22:47:52 GMT",gzip
https://fampay.in/blog/13-boredom-busters-for-teens/,max-age=604800,"Thu, 25 May 2023 22:47:53 GMT",gzip
https://fampay.in/blog/how-can-teens-open-shops-on-instagram/,max-age=604800,"Thu, 25 May 2023 22:47:53 GMT",gzip
https://fampay.in/blog/author/arohi/,max-age=604800,"Thu, 25 May 2023 22:47:53 GMT",gzip
https://fampay.in/blog/tag/teens/page/2/,max-age=604800,"Thu, 25 May 2023 22:47:54 GMT",gzip
https://fampay.in/blog/tag/parents/,max-age=604800,"Thu, 25 May 2023 22:47:54 GMT",gzip
