url,overall_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive
https://fampay.in/partner,0.76000000,625,1893.6440634003636,4078.5,2537
https://fampay.in/blog/author/shifa/,0.93000000,530,1464.5053949455316,1584.5,530
https://fampay.in/blog/zetas-fusion-to-power-fampays-cashless-payments-for-gen-z/,0.91000000,530,1888.116099657544,1631.5,530
https://fampay.in/blog/author/priyanka/,0.94000000,530,1335.2679094714522,1540,530
https://fampay.in/about,0.75000000,625,1298.1900923799376,5840.5,1909
https://fampay.in/,0.99000000,625,958.5532777257347,782,1686
https://fampay.in/blog/author/diya/,0.93000000,530,1668.0487471437514,1509,530
https://fampay.in/blog/author/charvi/,0.92000000,530,1473.7749712708528,1702.5,530
https://fampay.in/blog/from-a-self-taught-programmer-since-age-9-to-becoming-a-ceo-at-15/,0.73000000,530,2198.833531733064,4952.5,530
https://fampay.in/blog/writing-content-for-a-content-saturated-generation/,0.84000000,1420,2030.4470114068677,1875,1420
https://fampay.in/blog/things-you-must-know-as-a-teens-parent/,0.91000000,530,1577.0576549636853,1775.5,530
https://fampay.in/blog/how-to-build-your-resume-and-portfolio-right-from-school/,0.89000000,530,1673.5348868108752,1914,530
https://fampay.in/blog/from-the-rough-road-of-failure-to-the-dream-travel-of-success/,0.78000000,530,2035.172094089804,3196.5,530
https://fampay.in/blog/7-cool-insta-dads-of-bollywood/,0.74000000,1475,2675.417837111254,2742,1869
https://fampay.in/blog/journey-to-the-centre-of-100k-downloads/,0.76000000,1590,2574.6000904598495,2371,3684
https://fampay.in/blog/savings-for-teens-its-never-too-early-to-start/,0.84000000,1433,2184.6501101982844,1733,1433
https://fampay.in/blog/how-to-order-a-famcard-in-less-than-5-minutes/,0.91000000,530,1675.1226943782895,1696.5,530
https://fampay.in/blog/3-financial-lessons-from-nature-itself/,0.83000000,1431,2280.3579880480456,1875,1431
https://fampay.in/blog/tag/product/,0.87000000,530,1795.26878487868,2137.5,530
https://fampay.in/blog/top-4-head-turning-fashion-tips-and-trends-for-the-sassy-gen-z/,0.91000000,530,1556.4963654889311,1787,530
https://fampay.in/blog/everything-you-need-to-know-about-our-numberless-card/,0.44000000,2370,3415.8682303885817,3725,5266
https://fampay.in/blog/teen-fashion-trends-that-we-love/,0.89000000,530,1666.4134593659576,1933.5,530
https://fampay.in/blog/cyber-bullying-what-can-you-do-as-a-parent/,0.86000000,1420,1880.7729361265679,1773,1420
https://fampay.in/blog,0.89000000,600,1898.306978460355,1789,600
https://fampay.in/blog/solving-social-problems-through-entrepreneurship/,0.74000000,530,2445.6338333846625,3803,530
https://fampay.in/blog/tag/famsays/page/3/,0.68000000,530,2033.2106057793235,3010,870
https://fampay.in/blog/a-practical-guide-to-app-store-optimization/,0.83000000,1432,1929.7536816650693,2027.5,1701
https://fampay.in/blog/tag/pr-news/,0.92000000,530,1482.6997444970198,1637,530
https://fampay.in/blog/fampay-amongst-linkedins-top-startups-list-2021/,0.89000000,530,1709.660383291699,1943.5,530
https://fampay.in/blog/mental-health-matters-5-things-to-remember-while-in-quarantine/,0.88000000,530,1667.3685573301907,2012,530
https://fampay.in/blog/tag/famsays/,0.80000000,530,1863.9538991425768,3050,611
https://fampay.in/blog/author/shiv/,0.89000000,530,1532.9036896954667,1958.5,530
https://fampay.in/blog/how-i-blurred-age-barriers-with-technology/,0.75000000,530,2209.210746793062,3850.5,530
https://fampay.in/blog/my-journey-into-the-world-of-art/,0.83000000,530,1829.0323749261174,2547.5,532
https://fampay.in/blog/page/3/,0.91000000,530,1593.1036267889317,1779,530
https://fampay.in/blog/researching-the-unresearched-genzs/,0.85000000,1430,1908.1095755778483,1789.5,1430
https://fampay.in/blog/want-to-become-a-teenage-influencer-start-here/,0.86000000,1435,1934.0216779299253,1723,1435
https://fampay.in/blog/page/2/,0.89000000,530,1669.0734062186489,1937.5,530
https://fampay.in/blog/author/tiara/,0.94000000,530,1437.1857107904111,1516,530
https://fampay.in/blog/teen-focused-fintech-startup-fampay-raises-38m-in-series-a/,0.93000000,530,1518.7705009497263,1552,530
https://fampay.in/blog/tag/growth/page/2/,0.91000000,530,1723.7939393999131,1616.5,530
https://fampay.in/blog/author/fampay/page/3/,0.92000000,530,1707.843340405149,1529,530
https://fampay.in/blog/famcard-your-first-prepaid-card/,0.87000000,530,1715.4168705964407,2074,530
https://fampay.in/blog/the-most-beautiful-college-campuses-in-india/,0.86000000,530,1889.2748871305703,2096,530
https://fampay.in/blog/tag/teens/page/2/,0.85000000,530,1823.352285487892,2396,530
https://fampay.in/blog/tag/parents/,0.90000000,530,1665.1061925178437,1857.5,530
https://fampay.in/press,0.90000000,625,1257.961878527562,1994,1774
https://fampay.in/blog/decor-ideas-that-would-transform-your-room-at-home-or-hostel/,0.87000000,530,1818.7155920409796,2108,530
https://fampay.in/blog/tag/teens/,0.88000000,530,1980.0543469051363,1937,530
https://fampay.in/blog/tag/growth/,0.91000000,530,1536.8151420267418,1696,530
https://fampay.in/blog/effectively-harnessing-motion-design-for-genzs/,0.84000000,1431,1993.351544457003,1856.5,1431
https://fampay.in/friends,0.83000000,625,1134.375754208068,3014.5,1820.5
https://fampay.in/blog/tag/culture/,0.91000000,530,1717.244543750405,1682.5,530
https://fampay.in/blog/bridging-generation-gap-understanding-your-genz-teenager-better/,0.91000000,530,1567.664524908746,1742,530
https://fampay.in/blog/author/fampay/page/4/,0.92000000,530,1665.2990485622245,1635,530
https://fampay.in/blog/guide-for-seeking-support-from-fampay-important-dos-and-donts/,0.88000000,530,1633.642000254682,2075.5,530
https://fampay.in/blog/fampay-is-set-to-launch-indias-first-and-biggest-digi-fest-for-teens/,0.81000000,530,2010.9710135103746,2729,530
https://fampay.in/blog/why-vaccination-a-guide-to-vaccination-for-teens-in-india/,0.87000000,532,1751.9074437967752,2161,543
https://fampay.in/blog/author/gauri/,0.89000000,530,1573.2379845380765,1945.5,530
https://fampay.in/blog/12-queer-led-small-businesses-you-need-to-support-this-pride-month/,0.85000000,1431,1847.6357983972032,1786,1431
https://fampay.in/blog/tag/lifestyle/page/3/,0.93000000,530,1543.2011643723265,1550,1734
https://fampay.in/blog/author/sameeran/,0.94000000,530,1402.2745283581187,1489.5,530
https://fampay.in/privacy,0.87000000,625,1136.069945700983,2430,1738
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,0.90000000,530,1536.7543922997886,1853,530
https://fampay.in/blog/tag/teens/page/3/,0.89000000,530,1636.324500278151,1900.5,530
https://fampay.in/blog/author/kaavyya/,0.93000000,530,1375.5652701269782,1611.5,530
https://fampay.in/blog/,0.91000000,530,1497.1090124813131,1780,530
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,0.84000000,1471,2001.3959056949338,1872.5,1471
https://fampay.in/blog/author/suhani/,0.94000000,530,1439.340566670368,1485.5,530
https://fampay.in/blog/author/aditi/,0.92000000,530,1557.3385138444933,1667,530
